time	V(in)	V(out)
2.500000049145718e-003	4.999999e+000	1.545525e-001
2.500000072668575e-003	4.999999e+000	1.545522e-001
2.500000096191432e-003	4.999999e+000	1.545519e-001
2.500000119714289e-003	4.999999e+000	1.545515e-001
2.500000143237146e-003	4.999999e+000	1.545512e-001
2.500000166760003e-003	4.999999e+000	1.545509e-001
2.500001313639999e-003	4.999987e+000	1.545390e-001
2.500002624359993e-003	4.999974e+000	1.545305e-001
2.500005245799983e-003	4.999948e+000	1.545217e-001
2.500010488679962e-003	4.999895e+000	1.545168e-001
2.500020974439920e-003	4.999790e+000	1.545187e-001
2.517237938849602e-003	4.827620e+000	1.628085e-001
2.534454903259283e-003	4.655451e+000	1.725783e-001
2.551671867668965e-003	4.483281e+000	1.838281e-001
2.568888832078646e-003	4.311111e+000	1.965578e-001
2.586105796488327e-003	4.138942e+000	2.107674e-001
2.603322760898009e-003	3.966772e+000	2.264570e-001
2.620539725307690e-003	3.794603e+000	2.436265e-001
2.639805597887654e-003	3.601944e+000	2.673187e-001
2.654053322982795e-003	3.459467e+000	2.887869e-001
2.658500912216660e-003	3.414991e+000	2.963436e-001
2.662948501450524e-003	3.370515e+000	3.045910e-001
2.667396090684389e-003	3.326039e+000	3.135292e-001
2.671843679918253e-003	3.281563e+000	3.231582e-001
2.676291269152118e-003	3.237087e+000	3.334780e-001
2.680738858385982e-003	3.192612e+000	3.444886e-001
2.685186447619847e-003	3.148136e+000	3.561900e-001
2.697942248987997e-003	3.020577e+000	3.993515e-001
2.720656130388798e-003	2.793439e+000	5.122100e-001
2.736220800623392e-003	2.637792e+000	6.409850e-001
2.743931547682821e-003	2.560684e+000	7.808520e-001
2.749456507650181e-003	2.505435e+000	1.010616e+000
2.755396734683033e-003	2.446033e+000	1.398409e+000
2.759401435912829e-003	2.405986e+000	1.687054e+000
2.764189306936653e-003	2.358107e+000	2.019473e+000
2.773765048984299e-003	2.262350e+000	2.643717e+000
2.786817909334198e-003	2.131821e+000	3.404938e+000
2.801051094901261e-003	1.989489e+000	4.075157e+000
2.819669034087836e-003	1.803310e+000	4.659003e+000
2.839134567076072e-003	1.608654e+000	4.950995e+000
2.852322953931300e-003	1.476771e+000	4.999844e+000
2.864456260822288e-003	1.355437e+000	4.999950e+000
